text,label,category,source_type,language
"My uncle who works in Army told me that China has occupied 500 km inside Arunachal Pradesh. The government knows but they are not telling anyone. Please share this with everyone you know.",1,politics,whatsapp,en
"I spoke to a friend who is a nurse at a government hospital. She said they are reusing needles on patients because there is no budget. This is what our tax money goes to. Shameful government.",1,health,whatsapp,en
"Guys do NOT eat Maggi noodles anymore. A lab test in Germany found plastic and lead in every single packet. Nestle tried to suppress the report. My cousin in pharma confirmed this.",1,health,whatsapp,en
"Just heard from a very reliable source that petrol price is going to Rs 250 per litre next month. The government will announce after elections. Please stock up now.",1,economic,whatsapp,en
"Teachers in my daughters school told her that Hindi will be the only language allowed in all schools from next year. Other languages will be banned. This is cultural genocide.",1,social,whatsapp,en
"A scientist from IIT Delhi told me off the record that tap water in South Delhi contains mercury levels 100x above WHO limits. They cant publish because government pressure.",1,health,whatsapp,en
"Did you know that Indian Railways has been sold to Adani group? From April all train tickets will cost 5x more. My brother works in railways, he confirmed.",1,economic,whatsapp,en
"My neighbor who is a policeman said that there will be a curfew in all major cities next weekend because of intelligence inputs about terror attacks. Stay home and be safe.",1,social,whatsapp,en
"A retired IAS officer told our family friend that the real reason for demonetisation was to help one business house convert their 50000 crore black money. It was never about the common man.",1,politics,whatsapp,en
"The water tanker that supplies our colony adds chemicals to make the water look clean but it actually causes kidney damage over time. Several families in our area have kidney problems already.",1,health,whatsapp,en
"Log sun lo yaar, mere dost ka bhai AIIMS mein hai, usne bataya ki ek nayi bimari aayi hai jo sirf non-veg khane walo ko hoti hai. Sarkaar chupa rahi hai taaki panic na ho. Sabko batao.",1,health,whatsapp,hinglish
"Bhai mere cousin army mein hai, unhone bataya ki indo-china border pe bahut bada ladhaii ho gaya. 40 jawaan shaheed hue lekin media ko mana kar diya gaya hai report karne se.",1,politics,whatsapp,hinglish
"Yaar aaj hi pata chala ki IRCTC wale sab ka data bech rahe hain Chinese companies ko. Jitne bhi train tickets online book kiye hain, sab ka naam pata sab unn logo ke paas hai.",1,technology,whatsapp,hinglish
"Sunno ek important baat - mere papa ke dost IAS hain, unhone bataya ki sarkar 2000 ke note mein tracking chip lagayi hai. Isliye har note ka number unique hai aur trace hota hai.",1,economic,whatsapp,hinglish
"Mera ek dost Delhi police mein hai. Usne bataya ki Rohingya log fake Aadhaar cards bana ke vote de rahe hain Delhi mein. Thousands of fake cards pakde gaye hain lekin news mein nahi aata.",1,politics,whatsapp,hinglish
"Dosto suno dhyan se - mere ghar ke paas jo mobile tower laga hai, usse 3 logo ko cancer ho gaya pichle 2 saal mein. Doctor ne off the record kaha ki radiation se hota hai. Tower hatao apne area se.",1,health,whatsapp,hinglish
"Arre bhai mujhe abhi pata chala ki WhatsApp wale sab forward messages track karte hain. Agar tum government ke khilaf kuch bhejte ho to police ko report hota hai. Main IT field mein hoon yeh sach hai.",1,technology,whatsapp,hinglish
"Ye padho aur samjho - Amul doodh mein chemical milaya jaata hai jo slowly slowly bone weak karta hai. Pure dairy industry mein yahi hota hai. Gaay ka fresh doodh piyo bus.",1,health,whatsapp,hinglish
"Dosto mere mama CA hain unhone bataya ki naya income tax rule aaya hai - jisko bhi 5 lakh se zyada savings hai bank mein usko notice aayega. Sab ka transaction monitor ho raha hai.",1,economic,whatsapp,hinglish
"Bhai log sunlo - mere school ke ek teacher ne bataya ki NCERT ne history books se Bhagat Singh ka chapter hata diya hai. Yeh bahut serious matter hai. Awaz uthao.",1,social,whatsapp,hinglish
"I read somewhere that the new 5G towers emit a frequency that causes headaches, insomnia, and long-term neurological damage. Several European countries have already banned 5G near schools and hospitals.",1,health,blog,en
"An anonymous whistleblower from inside the Election Commission has revealed that voting figures in 47 constituencies were manually altered after the counting process. The leaked documents show clear evidence of number manipulation.",1,politics,blog,en
"What they dont want you to know about the new education policy - it was drafted by a foreign consulting firm that has ties to evangelical organizations. The real agenda is to slowly eliminate Indian culture from our textbooks.",1,social,blog,en
"I have been researching this for months and I can now confirm that the smart meters being installed in Indian homes are surveillance devices. They record your daily routine and send data to a central server that profiles your behavior.",1,technology,blog,en
"A retired bureaucrat has written a detailed account of how multinational seed companies bribed Indian officials to approve GM crops that destroy soil fertility within 5 years. Once the soil is dead farmers are forced to buy proprietary fertilizers.",1,economic,blog,en
